The River Blossom,1.0000,0.7512
Nattos,1.0000,0.7206
Interlude,1.0000,0.6256
Starlight,1.0000,0.7122
Fluorescence,1.0000,0.7115
The Amber Cuisine,1.0000,0.6875
Midnight,1.0000,0.7294
Harvest,1.0000,0.7054
Tranquility,1.0000,0.6743
The Mad Oak,1.0000,0.7195
Mamoun's,0.7849,0.5579
China Palace,0.6848,0.6106
Vietnam Restaurant,0.6556,0.6103
Fargo,0.6458,0.5096
Wolfs,0.6421,0.5489
Fangs,0.6129,0.5572
Siam Cusine,0.6129,0.5446
Hofbrau Deluxe,0.5938,0.5110
Molinarinari,0.5918,0.5751
Irifune Place,0.5895,0.5157
Estradanas,0.5895,0.5500
Ranch House,0.5773,0.5442
Jean's Place,0.5684,0.5217
The Court Bites,0.5521,0.5130
Aroma,0.5484,0.4978
The Hot Oak,0.5263,0.5021
A Cut Above,0.5217,0.3853
The Indian Smith,0.5158,0.5540
The Noodle Fiddler,0.5000,0.4762
Trilogy,0.4091,0.5021
The Crimson Horse,0.4000,0.4903
The Sugar Badger,0.3889,0.4126
The Cool Pizzeria,0.3846,0.4261
The Depot,0.3763,0.4615
The Magical Spices,0.3636,0.4598
The Olive Port,0.3617,0.4472
The Crown,0.3438,0.4561
The Amber Lion,0.2755,0.3184
The Caviar Salmon,0.2418,0.4279
Chance,0.2043,0.3547
Bambino,0.1935,0.3894
Burgers and Fries,0.1538,0.3487
Bistro Bob,0.1263,0.3379
Chops and Ribs,0.0978,0.3880
The Mockingbird,0.0761,0.2535
Sapphire,0.0588,0.3755
Wiener House,0.0562,0.3061
The Caramel Hog,0.0521,0.3522
Big Daddy Barbeque,0.0455,0.3238
Mary's Diner,0.0215,0.3398
