Starlight,1.0000,0.8571
Fluorescence,1.0000,0.8257
The Amber Cuisine,1.0000,0.8371
Midnight,1.0000,0.8379
Harvest,1.0000,0.8039
Tranquility,1.0000,0.8233
The Mad Oak,1.0000,0.8188
The River Blossom,1.0000,0.8645
Nattos,1.0000,0.8063
Interlude,1.0000,0.8431
Mamoun's,0.7849,0.6580
China Palace,0.6848,0.5976
Vietnam Restaurant,0.6556,0.5678
Fargo,0.6458,0.5859
Wolfs,0.6421,0.6292
Fangs,0.6129,0.5951
Siam Cusine,0.6129,0.5880
Hofbrau Deluxe,0.5938,0.5979
Molinarinari,0.5918,0.5273
Irifune Place,0.5895,0.5754
Estradanas,0.5895,0.5521
Ranch House,0.5773,0.5269
Jean's Place,0.5684,0.5593
The Court Bites,0.5521,0.6038
Aroma,0.5484,0.5157
The Hot Oak,0.5263,0.4777
A Cut Above,0.5217,0.5310
The Indian Smith,0.5158,0.5116
The Noodle Fiddler,0.5000,0.5113
Trilogy,0.4091,0.4333
The Crimson Horse,0.4000,0.4739
The Sugar Badger,0.3889,0.3881
The Cool Pizzeria,0.3846,0.4146
The Depot,0.3763,0.4078
The Magical Spices,0.3636,0.4086
The Olive Port,0.3617,0.4179
The Crown,0.3438,0.3697
The Amber Lion,0.2755,0.3873
The Caviar Salmon,0.2418,0.3423
Chance,0.2043,0.3184
Bambino,0.1935,0.2835
Burgers and Fries,0.1538,0.2645
Bistro Bob,0.1263,0.2509
Chops and Ribs,0.0978,0.2731
The Mockingbird,0.0761,0.2620
Sapphire,0.0588,0.1903
Wiener House,0.0562,0.2206
The Caramel Hog,0.0521,0.2148
Big Daddy Barbeque,0.0455,0.1734
Mary's Diner,0.0215,0.1898
