restaurant_name,item_name,price
Vietnam Restaurant,Ground Beef with Cheese,10
Chops and Ribs,Ground Beef with Cheese,9.99
Molinarinari,Ground Beef with Cheese,12.99
Siam Cusine,Sauteed Mushrooms with Rice,12.99
Mary's Diner,Sauteed Mushrooms with Rice,12.99
Bistro Bob,Sauteed Mushrooms with Rice,12.99
Wiener House,Fried Cheese with Peanuts,12.99
Irifune Place,Fried Cheese with Peanuts,12.99
Estradanas,Baked Cabbage with Spaghetti,20
Fargo,Baked Cabbage with Spaghetti,20
Fangs,Braised Pork with Lettuce,20
China Palace,Braised Pork with Lettuce,30
Big Daddy Barbeque,Boiled Salmon with Onion,30
Wolfs,Boiled Salmon with Onion,30
A Cut Above,Chopped Kale with Walnuts,30
Ranch House,Cooked Eggs with Zucchini,14
Burgers and Fries,Blended Crab with Beans,30
Hofbrau Deluxe,Blended Crab with Beans,17
Jean's Place,Grilled Eggplant with Quinoa,12
Nattos,Smoked Mutton with Flour,7.99
